pub_id,doi,isbn,doc_type,pub_year,title,source,volume,issue,pages,openalex_id,editor,location,edition,publisher
73,NA,NA,Article,1983,Scottish manuscripts in canadian repositories,Archivaria,NA,NA,145-161,NA,NA,NA,NA,NA
74,NA,NA,Article,2017,The Imperial Munitions Board and Merchant Shipbuilding in Canada,Turning Point,NA,NA,51-77,NA,NA,NA,NA,NA
75,doi.org/10.7202/1017657ar,NA,Article,1988,The Toronto Harbour Commission Archives,Urban History Review,17,2,112-115,NA,NA,NA,NA,NA
76,10.1007/BF02770398,NA,Article,1992,The use of optical disc technology to improve access to historical photographs,Archives and Museum Informatics,6,1,44693,NA,NA,NA,NA,NA
77,NA,NA,Article,1989,"Toronto's Waterfront at War, 1914–1918",Archivaria,NA,28,126-140,NA,NA,NA,NA,NA
78,10.5860/crl.77.5.673,NA,Book Review,2016,"Academic E-Books: Publishers, Librarians, and Users.",College & Research Libraries,77,5,673-675,NA,NA,NA,NA,NA
79,10.25071/10315/35711,NA,Dataset,2019,Dataset: The Accessible Content Provider Landscape for Higher Education in North America,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,Dataset,2018,Dataset: York University Libraries Open Access Author Fund,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,10.5860/crl.78.7.1005,NA,Book Review,2017,Developing Digital Scholarship: Emerging Practices in Academic Libraries.,College & Research Libraries,78,7,1004-1006,NA,NA,NA,NA,NA
82,NA,NA,Report,2019,Digital Preservation Functionality in Canadian Repositories,Canadian Association of Research Libraries,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,Conference Presentation,2013,Fair use: a case study in normalizing journal usage data,PKP Scholarly Publishing Conference,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,Article,2019,"Getting Found, Staying Found, Increasing Impact: Enhancing Readership and Preserving Content for OJS Journals",Public Knowledge Project,NA,NA,NA,NA,NA,NA,NA,NA
85,10.5860/crl.76.6.849,NA,Book Review,2015,Getting the Word Out: Academic Libraries as Scholarly Publishers. Eds. Maria Bonn and Mike Furlough for the Association of College and Research Libraries. Chicago: American …,College & Research Libraries,77,7,848-850,NA,NA,NA,NA,NA
86,NA,NA,Conference Poster,2015,Has the# YorkU STEM community embraced Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,10.5860/crl.77.4.557,NA,Book Review,2016,"Is Digital Different? How Information Creation, Capture, Preservation and Discovery Are Being Transformed. Michael Moss, Barbara Endicott-Popovsky, and Marc J. Dupuis, eds …",College & Research Libraries,78,5,556-558,NA,NA,NA,NA,NA
88,10.1016/j.serrev.2011.06.005,NA,Editorial Material,2011,Libraries as journal publishers,Serials Review,36,2,196-203,NA,NA,NA,NA,NA
89,NA,NA,Powerpoint Presentation,2011,Modeling Scholarly Communication as an Information System,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,Conference Presentation,2015,Random or reasoned? Design and the scholarly journal article,PKP Scholarly Publishing Conference,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,Book Review,2014,"Robert Spoo. Without Copyrights: Piracy, Publishing, and the Public Domain",College & Research Libraries,75,5,755-757,NA,NA,NA,NA,NA
92,10.5860/crl.80.1.143,NA,Book Review,2019,"Robin Rice and John Southall. The Data Librarian’s Handbook. London: Facet Publishing, 2017. 192p. Paper, $79.99 (ISBN: 978-1-78330-047-1).",College & Research Libraries,80,1,143,NA,NA,NA,NA,NA
93,10.5860/crl.81.6.1051,NA,Book Review,2020,"Sustaining and Enhancing the Scholarly Communications Department: A Comprehensive Guide. Kris S. Helge, Ahmet Meti Tmava, and Amanda R. Zerangue. Santa Barbara, CA: ABC-CLIO …",College & Research Libraries,81,6,1051-1054,NA,NA,NA,NA,NA
94,NA,NA,Conference Poster,2014,The Churchill community of knowledge: An open access digital archive,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,Book Review,2019,The Data Librarian's Handbook,College & Research Libraries,80,1,143-144,NA,NA,NA,NA,NA
96,NA,NA,Conference Presentation,2017,The library publishing landscape: how we define and situate ourselves,PKP,NA,NA,NA,NA,NA,NA,NA,NA
97,10.5860/crl-36r1,NA,Article,2010,The York Digital Journals Project: Strategies for institutional open journal systems implementations,College & research libraries,71,4,310-321,NA,NA,NA,NA,NA
98,NA,NA,Exercise,2014,What would the cost of your last term paper be without library access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,10.7710/2162-3309.2209,NA,Article,2018,What’s in a Name? Exploring identity in the field of library journal publishing,Journal of Librarianship and Scholarly Communication,6,1,NA,NA,NA,NA,NA,NA
100,NA,NA,Conference Presentation,2015,What's in a Name? Self-Identifying as a Publisher or Host,PKP Scholarly Publishing Conference,NA,NA,NA,NA,NA,NA,NA,NA
101,10.22230/src.2010v1n1a18,NA,Article,2010,"Who knows what, when? Current and desired capacities for online journal statistics gathering and dissemination",Scholarly and Research Communication,1,1,NA,NA,NA,NA,NA,NA
102,10.1080/19386389.2016.1258891,NA,Article,2016,A Scenes Approach to Metadata Models for Music,Journal of Library Metadata,16,3-4,181-201,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,Academic Reference Librarians• ARTICLE,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,Article,2020,"Bodies, brains, and machines: An exploration of the relationship between the material and affective states of librarians and information systems",library trends,67,2,409-429,NA,NA,NA,NA,NA
105,NA,NA,Conference Presentation,NA,DH2015 Abstract,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,10.25071/1708-6701.1316,NA,Book Review,2006,Frank Welsman: Canadian Conductor (Book Review),CAML Review/Revue de l'ACBM,NA,NA,NA,NA,NA,NA,NA,NA
107,10.1016/j.acalib.2006.07.001,NA,Article,2006,Investigating the value of scholarly book reviews for the work of academic reference librarians,The Journal of academic librarianship,32,5,452-466,NA,NA,NA,NA,NA
108,10.25071/10315/38038,NA,Article,2020,Perspectives on Openness: Honouring Indigenous Ways of Knowing,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,Report,2007,Scholr 2.0: a white paper by Scholars Portage,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,Article,2006,Summer Doldrums and Busy Beavers,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,Article,2005,The Canadian Music Centre and the Digital Delivery of Scores,CAML Review/Revue de l'ACBM,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,Conference Summary,2008,The One Big Library Unconference,Ontario Library Association,NA,NA,NA,NA,NA,NA,NA,NA
113,10.1080/19386389.2012.700606,NA,Article,2012,The possibility of the infinite library: Exploring the conceptual boundaries of works and texts of bibliographic description,Journal of Library Metadata,12,44595,294-309,NA,NA,NA,NA,NA
114,NA,NA,Book Chapter,2017,The Possibility of the Infinite Library: Exploring the Conceptual Boundaries of Works and Texts of Bibliographic Description,Functional Future for Bibliographic Control: Transitioning into new …,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,1550226649,Book Review,2005,Traveling Music: Playing Back the Soundtrack to My Life and Times (Book Review),CAML Review/Revue de l'ACBM,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,Article,2018,Wikidata: a platform for your library’s linked open data,Code4Lib Journal,NA,40,NA,NA,NA,NA,NA,NA
117,10.1353/utq.2012.0129,NA,Book Review,2012,"Shouting, Embracing, and Dancing with Ecstasy: The Growth of Methodism in Newfoundland, 1774-1874",University of Toronto Quarterly,81,3,693-694,NA,NA,NA,NA,NA
118,10.1353/lib.2016.0014,NA,Article,2016,"Affective Labor, Resistance, and the Academic Librarian",Library Trends,65,5,645-667,NA,NA,NA,NA,NA
119,NA,NA,Book Review,2016,"Basements and Attics, Closets and Cyberspace: Explorations in Canadian Women's Archives. Review by Lisa Sloniowski",Resources for Feminist Research Journal/Revue de documentation sur la …,34,3-4,NA,NA,NA,NA,NA,NA
120,NA,NA,Conference Presentation,2013,Grinding the gears: Academic librarians and civic responsibility,Urban Library Journal,19,1,14,NA,NA,NA,NA,NA
121,NA,NA,NA,2013,In the stacks of Barbara Godard or do not confuse the complexity of this moment with chaos,Wilfred Laurier University Press,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,Article,2003,Iraq 2003--Sources of News,University of Windsor: Leddy Library,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,Article,2018,Ordering things,Library Juice Press,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,Editorial Material,2020,Strange Circulations: Affect and the Library Introduction,LIBRARY TRENDS,69,4,369-379,NA,NA,NA,NA,NA
125,NA,NA,Article,2013,The public academic library: friction in the teflon funnel,Library Juice Press,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,Article,2012,This is Not a Love Story: Libraries and Feminist Porn,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,Conference Presentation,2013,Who Speaks for Libraries and Librarians,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,10.53761/1.13.3.3,NA,NA,2016,Academic literacies as cornerstones in course design: A partnership to develop programming for faculty and teaching assistants,Journal of University Teaching & Learning Practice,13,3,3,NA,NA,NA,NA,NA
129,10.11645/11.2.2219,NA,NA,2017,Celebrating undergraduate students' research at York University: Information literacy competencies of high-achieving students.,Journal of Information Literacy,11,2,NA,NA,NA,NA,NA,NA
130,NA,NA,Conference Presentation,2009,Charting the course of information literacy with SAILS,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,NA,NA,Conference Presentation,2006,"Charting the Course of Information Literacy with SAILS. Presented at Ontario Library Association (OLA) Super Conference, Toronto, Ontario, 2006.",NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,Report,2010,Continuing Professional Development and Irish Libraries: Report of Key Survey Findings. Executive Summary. January 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,10.1108/00907320710774346,NA,NA,2007,Corporate governance research on the free web: A selected annotated guide,Reference Services Review,35,3,497-514,NA,NA,NA,NA,NA
134,10.11645/5.1.1513,NA,Article,2011,"Faculty attitudes, perceptions and experiences of information literacy: a study across multiple disciplines at York University, Canada.",Journal of information literacy,5,1,45-64,NA,NA,NA,NA,NA
135,NA,NA,Conference Presentation,2011,Faculty Voices on Information Literacy,University of Regina Library,NA,NA,NA,NA,NA,NA,NA,NA
136,NA,NA,Conference Presentation,2009,Future Forward: Reflections on New and Emerging Service Directions in Canadian Academic Libraries.,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,NA,NA,Article,2017,Global perspectives on information literacy: Fostering a dialogue for international understanding,Association of College and Research Libraries,NA,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,Conference Presentation,2009,"Inside Out: Library Services At Point Of Need. Presented at Ontario Library Association (OLA) Super Conference, Toronto, Ontario, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA
139,10.1108/RSR-11-2015-0048,NA,Article,2016,Learning from faculty voices on information literacy: Opportunities and challenges for undergraduate information literacy education,Reference Services Review,45,3,237-252,NA,NA,NA,NA,NA
140,NA,NA,Conference Presentation,2013,"Literacies—Information and beyond: The Learning Commons and the embedding of academic literacy instruction in disciplinary courses. Presented at WILU Conference, May 8-10 2013 …",NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,Conference Presentation,2018,Real or Fake? Helping York University Spot Fake News,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,Conference Presentation,2014,"Teaching with SPARK. Co-presented with Ron Sheese (York University) at STHLE Conference 2014, Queen's University, Kingston, ON, June 2014.",NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,Article,2001,TECHNOFILE. TALKING THE TALK. You probably come across these techno terms every day. But do you know what they really mean?,APPLIED ARTS MAGAZINE,16,2,42-47,NA,NA,NA,NA,NA
144,NA,NA,Conference Presentation,2014,"Undergraduate Students' Writing, Research and Learning Skills: Academic Literacy Research and Practice at York University. Co-presented with Ron Sheese (York University) at TRY …",TRY Library Staff Conference,NA,NA,NA,NA,NA,NA,NA,NA
145,10.1108/00907320510581388,NA,Article,2005,Usability testing of an online information literacy tutorial,Emerald,33,1,54-65,NA,NA,NA,NA,NA
146,10.1108/07378831111138189,NA,Article,2011,Usability testing of VuFind at an academic library,Library Hi Tech,29,2,301-319,NA,NA,NA,NA,NA
147,10.5860/crl.79.7.931,NA,Article,2018,Academic Freedom and Librarians' Research and Scholarship in Canadian Universities,College & Research Libraries,79,7,931-947,NA,NA,NA,NA,NA
148,10.1353/lib.2016.0029,NA,Article,2016,The Rhetoric of Digitization and the Politicization of Canadian Heritage,Library Trends,65,2,165-179,NA,NA,NA,NA,NA
149,10.1080/01639374.2011.532419,NA,Book Review,2011,"A Review of “RDA Vocabularies for a Twenty-First-Century Data Environment” by Karen Coyle. Library Technology Reports, vol. 46, no. 2 (February/March 2010). Chicago, IL: ALA …",Cataloging & Classification Quarterly,46,2,49-51,NA,NA,NA,NA,NA
150,10.1080/01639374.2010.532420,NA,Book Review,2011,"A Review of “Understanding the Semantic Web: Bibliographic Data and Metadata” by Karen Coyle. Library Technology Reports, vol. 46, no. 1 (January 2010). Chicago, IL: ALA …",Cataloging & Classification Quarterly,46,1,51-52,NA,NA,NA,NA,NA
151,10.21083/partnership.v8i2.2729,NA,Book Review,2013,Book Review: Implementing FRBR in Libraries,Partnership: The Canadian Journal of Library and Information Practice and Research,8,2,NA,https://openalex.org/W2122393206,NA,NA,NA,NA
152,NA,NA,Article,2009,Canadian Patents Database,Charleston Advisor,10,3,16-20,NA,NA,NA,NA,NA
153,10.1080/15398285.2018.1513763,NA,Article,2018,Cerebral Palsy: A Webliography,Journal of Consumer Health on The Internet,22,3,244-252,https://openalex.org/W2898851769,NA,NA,NA,NA
154,10.33137/ijidi.v5i1.33938,NA,Book Review,2021,Diversity and inclusion in libraries: A Call to Action and Strategies for Success,"The International journal of information, diversity, & inclusion",5,1,118-120,https://openalex.org/W3131144167,NA,NA,NA,NA
155,NA,NA,Article,2009,Electronic content: Benefits and Challenges,Ontario Library Association,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,NA,Article,2006,Eye on the Web,Access OLA,NA,NA,NA,NA,NA,NA,NA,NA
157,10.1080/01973762.2014.879400,NA,Article,2014,IAINBAXTER&raisonnE: A Media Ecology Perspective for Visual Resources,Visual Resources,30,NA,57-81,NA,NA,NA,NA,NA
158,NA,978-1-55570-661-6.,Book Review,2013,Implementing FRBR in Libraries: Key Issues and Future Directions,Partnership: The Canadian Journal of Library and Information Practice and Research,8,2,1-2,https://openalex.org/W1130434651,NA,NA,NA,NA
